sample_id,source_dataset,annotation_type,split,final_class,source_label,image_path,crop_path,source_image_path,image_width,image_height,bbox_x,bbox_y,bbox_width,bbox_height,image_id,annotation_id
taco_1,TACO,cropped_object_classification,train,Glass,Glass bottle,TACO-master/TACO-master/data/filtered_classification/crops/train/Glass/000006_ann1.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Glass/000006_ann1.jpg,TACO-master/TACO-master/data/batch_1/000006.jpg,1537,2049,517.0,127.0,447.0,1322.0,0,1
taco_3,TACO,cropped_object_classification,train,PaperCardboard,Other carton,TACO-master/TACO-master/data/filtered_classification/crops/train/PaperCardboard/000008_ann3.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/PaperCardboard/000008_ann3.jpg,TACO-master/TACO-master/data/batch_1/000008.jpg,1537,2049,531.0,292.0,1006.0,672.0,1,3
taco_4,TACO,cropped_object_classification,train,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000010_ann4.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000010_ann4.jpg,TACO-master/TACO-master/data/batch_1/000010.jpg,1537,2049,632.0,987.0,500.0,374.0,2,4
taco_6,TACO,cropped_object_classification,test,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/test/Plastic/000019_ann6.jpg,TACO-master/TACO-master/data/filtered_classification/crops/test/Plastic/000019_ann6.jpg,TACO-master/TACO-master/data/batch_1/000019.jpg,2049,1537,209.0,920.0,454.0,562.0,3,6
taco_7,TACO,cropped_object_classification,val,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/val/Plastic/000019_ann7.jpg,TACO-master/TACO-master/data/filtered_classification/crops/val/Plastic/000019_ann7.jpg,TACO-master/TACO-master/data/batch_1/000019.jpg,2049,1537,1212.0,822.0,179.0,446.0,3,7
taco_9,TACO,cropped_object_classification,train,Metal,Drink can,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000019_ann9.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000019_ann9.jpg,TACO-master/TACO-master/data/batch_1/000019.jpg,2049,1537,589.0,548.0,341.0,405.0,3,9
taco_10,TACO,cropped_object_classification,val,Metal,Drink can,TACO-master/TACO-master/data/filtered_classification/crops/val/Metal/000026_ann10.jpg,TACO-master/TACO-master/data/filtered_classification/crops/val/Metal/000026_ann10.jpg,TACO-master/TACO-master/data/batch_1/000026.jpg,1537,2049,556.0,944.0,490.0,336.0,4,10
taco_11,TACO,cropped_object_classification,train,Metal,Food Can,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000047_ann11.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000047_ann11.jpg,TACO-master/TACO-master/data/batch_1/000047.jpg,2049,1537,1205.0,47.0,623.0,721.0,5,11
taco_12,TACO,cropped_object_classification,train,Metal,Food Can,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000047_ann12.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000047_ann12.jpg,TACO-master/TACO-master/data/batch_1/000047.jpg,2049,1537,309.0,11.0,581.0,820.0,5,12
taco_13,TACO,cropped_object_classification,train,Plastic,Other plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000047_ann13.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000047_ann13.jpg,TACO-master/TACO-master/data/batch_1/000047.jpg,2049,1537,189.0,751.0,1617.0,589.0,5,13
taco_17,TACO,cropped_object_classification,train,Metal,Aerosol,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000055_ann17.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000055_ann17.jpg,TACO-master/TACO-master/data/batch_1/000055.jpg,1537,2049,515.0,439.0,357.0,1125.0,6,17
taco_18,TACO,cropped_object_classification,val,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/val/Plastic/000001_ann18.jpg,TACO-master/TACO-master/data/filtered_classification/crops/val/Plastic/000001_ann18.jpg,TACO-master/TACO-master/data/batch_1/000001.jpg,2049,1537,826.0,744.0,464.0,205.0,7,18
taco_20,TACO,cropped_object_classification,train,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000005_ann20.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000005_ann20.jpg,TACO-master/TACO-master/data/batch_1/000005.jpg,1537,2049,824.0,557.0,89.0,236.0,8,20
taco_21,TACO,cropped_object_classification,val,Metal,Food Can,TACO-master/TACO-master/data/filtered_classification/crops/val/Metal/000007_ann21.jpg,TACO-master/TACO-master/data/filtered_classification/crops/val/Metal/000007_ann21.jpg,TACO-master/TACO-master/data/batch_1/000007.jpg,1537,2049,730.0,126.0,275.0,609.0,9,21
taco_24,TACO,cropped_object_classification,test,Glass,Glass bottle,TACO-master/TACO-master/data/filtered_classification/crops/test/Glass/000012_ann24.jpg,TACO-master/TACO-master/data/filtered_classification/crops/test/Glass/000012_ann24.jpg,TACO-master/TACO-master/data/batch_1/000012.jpg,1537,2049,379.0,1127.0,425.0,318.0,10,24
taco_27,TACO,cropped_object_classification,train,Other,Styrofoam piece,TACO-master/TACO-master/data/filtered_classification/crops/train/Other/000014_ann27.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Other/000014_ann27.jpg,TACO-master/TACO-master/data/batch_1/000014.jpg,1537,2049,914.0,1308.0,243.0,187.0,11,27
taco_28,TACO,cropped_object_classification,train,Metal,Drink can,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000014_ann28.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Metal/000014_ann28.jpg,TACO-master/TACO-master/data/batch_1/000014.jpg,1537,2049,672.0,1069.0,219.0,161.0,11,28
taco_30,TACO,cropped_object_classification,train,PaperCardboard,Other carton,TACO-master/TACO-master/data/filtered_classification/crops/train/PaperCardboard/000014_ann30.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/PaperCardboard/000014_ann30.jpg,TACO-master/TACO-master/data/batch_1/000014.jpg,1537,2049,836.0,1010.0,339.0,207.0,11,30
taco_32,TACO,cropped_object_classification,train,Plastic,Other plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000048_ann32.jpg,TACO-master/TACO-master/data/filtered_classification/crops/train/Plastic/000048_ann32.jpg,TACO-master/TACO-master/data/batch_1/000048.jpg,2049,1537,1527.0,460.0,415.0,1033.0,12,32
taco_33,TACO,cropped_object_classification,test,Plastic,Clear plastic bottle,TACO-master/TACO-master/data/filtered_classification/crops/test/Plastic/000048_ann33.jpg,TACO-master/TACO-master/data/filtered_classification/crops/test/Plastic/000048_ann33.jpg,TACO-master/TACO-master/data/batch_1/000048.jpg,2049,1537,579.0,521.0,322.0,921.0,12,33
taco_34,TACO,cropped_object_classification,val,Glass,Glass bottle,TACO-master/TACO-master/data/filtered_classification/crops/val/Glass/000048_ann34.jpg,TACO-master/TACO-master/data/filtered_classification/crops/val/Glass/000048_ann34.jpg,TACO-master/TACO-master/data/batch_1/000048.jpg,2049,1537,211.0,1.0,417.0,1417.0,12,34
