annotation_id,image_id,file_name,category_name,final_class,bbox,area,image_width,image_height,split
1,0,batch_1/000006.jpg,Glass bottle,Glass,"[517.0, 127.0, 447.0, 1322.0]",403954.0,1537,2049,train
3,1,batch_1/000008.jpg,Other carton,PaperCardboard,"[531.0, 292.0, 1006.0, 672.0]",99583.5,1537,2049,train
4,2,batch_1/000010.jpg,Clear plastic bottle,Plastic,"[632.0, 987.0, 500.0, 374.0]",73832.5,1537,2049,train
6,3,batch_1/000019.jpg,Clear plastic bottle,Plastic,"[209.0, 920.0, 454.0, 562.0]",98379.5,2049,1537,test
7,3,batch_1/000019.jpg,Clear plastic bottle,Plastic,"[1212.0, 822.0, 179.0, 446.0]",43678.0,2049,1537,val
9,3,batch_1/000019.jpg,Drink can,Metal,"[589.0, 548.0, 341.0, 405.0]",61402.0,2049,1537,train
10,4,batch_1/000026.jpg,Drink can,Metal,"[556.0, 944.0, 490.0, 336.0]",93266.0,1537,2049,val
11,5,batch_1/000047.jpg,Food Can,Metal,"[1205.0, 47.0, 623.0, 721.0]",336008.5,2049,1537,train
12,5,batch_1/000047.jpg,Food Can,Metal,"[309.0, 11.0, 581.0, 820.0]",372822.5,2049,1537,train
13,5,batch_1/000047.jpg,Other plastic bottle,Plastic,"[189.0, 751.0, 1617.0, 589.0]",736529.0,2049,1537,train
17,6,batch_1/000055.jpg,Aerosol,Metal,"[515.0, 439.0, 357.0, 1125.0]",238627.5,1537,2049,train
18,7,batch_1/000001.jpg,Clear plastic bottle,Plastic,"[826.0, 744.0, 464.0, 205.0]",68667.0,2049,1537,val
20,8,batch_1/000005.jpg,Clear plastic bottle,Plastic,"[824.0, 557.0, 89.0, 236.0]",17734.0,1537,2049,train
21,9,batch_1/000007.jpg,Food Can,Metal,"[730.0, 126.0, 275.0, 609.0]",133884.5,1537,2049,val
24,10,batch_1/000012.jpg,Glass bottle,Glass,"[379.0, 1127.0, 425.0, 318.0]",43489.0,1537,2049,test
27,11,batch_1/000014.jpg,Styrofoam piece,Other,"[914.0, 1308.0, 243.0, 187.0]",28200.5,1537,2049,train
28,11,batch_1/000014.jpg,Drink can,Metal,"[672.0, 1069.0, 219.0, 161.0]",23242.0,1537,2049,train
30,11,batch_1/000014.jpg,Other carton,PaperCardboard,"[836.0, 1010.0, 339.0, 207.0]",36370.5,1537,2049,train
32,12,batch_1/000048.jpg,Other plastic bottle,Plastic,"[1527.0, 460.0, 415.0, 1033.0]",329938.0,2049,1537,train
33,12,batch_1/000048.jpg,Clear plastic bottle,Plastic,"[579.0, 521.0, 322.0, 921.0]",227212.5,2049,1537,test
34,12,batch_1/000048.jpg,Glass bottle,Glass,"[211.0, 1.0, 417.0, 1417.0]",324005.0,2049,1537,val
42,13,batch_1/000053.jpg,Clear plastic bottle,Plastic,"[398.0, 410.0, 1134.0, 998.0]",437552.5,1537,2049,train
46,14,batch_1/000056.jpg,Other plastic bottle,Plastic,"[419.0, 8.0, 713.0, 1854.0]",913836.0,1537,2049,train
47,15,batch_1/000058.jpg,Other plastic bottle,Plastic,"[150.0, 328.0, 568.0, 1304.0]",550185.5,1537,2049,train
48,15,batch_1/000058.jpg,Other plastic bottle,Plastic,"[802.0, 405.0, 547.0, 1404.0]",533408.0,1537,2049,train
50,16,batch_1/000060.jpg,Aerosol,Metal,"[750.0, 244.0, 402.0, 1467.0]",518154.0,1537,2049,val
51,16,batch_1/000060.jpg,Normal paper,PaperCardboard,"[1205.0, 989.0, 332.0, 602.0]",171665.5,1537,2049,train
53,18,batch_1/000011.jpg,Drink can,Metal,"[522.0, 1168.0, 240.0, 122.0]",23393.0,1537,2049,train
54,19,batch_1/000032.jpg,Drink can,Metal,"[503.0, 808.0, 445.0, 357.0]",108233.5,1537,2049,train
56,20,batch_1/000040.jpg,Food Can,Metal,"[285.0, 402.0, 472.0, 624.0]",222774.5,2049,1537,train
57,20,batch_1/000040.jpg,Food Can,Metal,"[1450.0, 379.0, 514.0, 612.0]",219840.5,2049,1537,train
60,21,batch_1/000043.jpg,Food Can,Metal,"[602.0, 290.0, 865.0, 1059.0]",672696.5,2049,1537,train
62,22,batch_1/000049.jpg,Drink can,Metal,"[399.0, 502.0, 483.0, 741.0]",201426.0,1537,2049,train
64,23,batch_1/000054.jpg,Aerosol,Metal,"[184.0, 898.0, 494.0, 854.0]",268986.5,1537,2049,train
65,23,batch_1/000054.jpg,Other plastic bottle,Plastic,"[605.0, 259.0, 379.0, 1196.0]",342826.0,1537,2049,train
66,23,batch_1/000054.jpg,Other plastic bottle,Plastic,"[1051.0, 202.0, 486.0, 1078.0]",377292.5,1537,2049,train
68,24,batch_1/000061.jpg,Aerosol,Metal,"[274.0, 723.0, 663.0, 846.0]",213443.5,1537,2049,val
69,25,batch_1/000021.jpg,Glass bottle,Glass,"[852.0, 638.0, 687.0, 291.0]",95494.5,2049,1537,train
71,26,batch_1/000022.jpg,Glass bottle,Glass,"[647.0, 1033.0, 820.0, 376.0]",142823.0,2049,1537,train
73,27,batch_1/000023.jpg,Clear plastic bottle,Plastic,"[372.0, 1441.0, 293.0, 221.0]",29599.5,1537,2049,train
74,27,batch_1/000023.jpg,Drink can,Metal,"[1015.0, 979.0, 190.0, 214.0]",20471.0,1537,2049,test
75,27,batch_1/000023.jpg,Drink can,Metal,"[904.0, 1493.0, 168.0, 166.0]",11800.5,1537,2049,train
76,27,batch_1/000023.jpg,Drink can,Metal,"[683.0, 1550.0, 221.0, 103.0]",11367.0,1537,2049,train
