split,image_path,true_class,predicted_class,predicted_probability,top2_class,top2_probability,transition
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000015_ann3558.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000021_ann4120.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000027_ann3103.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000035_ann4259.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000036_ann4264.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000037_ann4269.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000038_ann4271.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000038_ann4272.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000039_ann4274.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000073_ann4410.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
train,C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\train\Glass\000076_ann3291.jpg,Glass,Other,0.5063,Metal,0.1809,Glass -> Other
