image_path,true_class,predicted_class,predicted_probability,top2_class,top2_probability,top3_class,top3_probability,misclassified,low_confidence,focus_case
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000010_ann4068.jpg,Glass,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000011_ann376.jpg,Glass,Metal,0.8593,Glass,0.0851,Plastic,0.0417,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000012_ann24.jpg,Glass,PaperCardboard,0.4215,Other,0.3943,Plastic,0.0989,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000016_ann101.jpg,Glass,Glass,0.4412,Metal,0.2421,Other,0.1971,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000040_ann4277.jpg,Glass,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000055_ann3431.jpg,Glass,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000057_ann1205.jpg,Glass,Plastic,0.5856,Other,0.1558,Metal,0.1323,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000059_ann1629.jpg,Glass,PaperCardboard,0.4292,Metal,0.173,Plastic,0.1716,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000097_ann4776.jpg,Glass,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000098_ann917.jpg,Glass,Plastic,0.7571,Metal,0.1433,Glass,0.0408,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\000099_ann4783.jpg,Glass,Other,0.5063,Metal,0.1809,Glass,0.1653,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass1.jpg,Glass,Glass,0.9407,PaperCardboard,0.0273,Metal,0.0195,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass111.jpg,Glass,Glass,0.9941,Other,0.0035,Plastic,0.0017,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass116.jpg,Glass,Glass,0.9104,Other,0.0527,Plastic,0.0305,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass119.jpg,Glass,Glass,0.9882,Other,0.0078,Metal,0.0024,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass130.jpg,Glass,Glass,0.9946,Metal,0.0024,PaperCardboard,0.0017,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass149.jpg,Glass,Glass,0.9399,Other,0.0229,Plastic,0.0197,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass152.jpg,Glass,Glass,0.9767,Metal,0.0106,Plastic,0.0097,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass156.jpg,Glass,Glass,0.8026,Metal,0.1849,Other,0.0053,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass158.jpg,Glass,Glass,0.9694,Metal,0.0153,PaperCardboard,0.0092,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass181.jpg,Glass,Glass,0.3686,Plastic,0.2905,Metal,0.1806,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass187.jpg,Glass,Glass,0.9484,Other,0.0197,Plastic,0.0159,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass188.jpg,Glass,Other,0.3396,Glass,0.2844,Plastic,0.2403,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass19.jpg,Glass,Glass,0.9184,PaperCardboard,0.0457,Metal,0.0267,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass216.jpg,Glass,Glass,0.5003,Plastic,0.2606,Other,0.1018,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass219.jpg,Glass,Glass,0.6809,Metal,0.1966,PaperCardboard,0.0648,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass220.jpg,Glass,Glass,0.833,Metal,0.093,Other,0.0465,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass227.jpg,Glass,Glass,0.9675,Other,0.0156,Metal,0.0124,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass235.jpg,Glass,Glass,0.5965,Other,0.181,Plastic,0.1488,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass237.jpg,Glass,Glass,0.7752,Metal,0.1063,Other,0.0858,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass241.jpg,Glass,Glass,0.5092,Other,0.285,Metal,0.1248,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass243.jpg,Glass,Glass,0.9695,Other,0.0144,Metal,0.0082,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass25.jpg,Glass,Glass,0.95,Metal,0.0313,Other,0.0131,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass251.jpg,Glass,Glass,0.9811,Other,0.0089,Metal,0.0057,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass258.jpg,Glass,Glass,0.7182,PaperCardboard,0.1547,Plastic,0.0841,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass260.jpg,Glass,Glass,0.927,Other,0.0557,Metal,0.0084,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass267.jpg,Glass,Glass,0.9505,Plastic,0.026,PaperCardboard,0.0124,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass274.jpg,Glass,Metal,0.4287,PaperCardboard,0.2872,Glass,0.1819,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass277.jpg,Glass,Glass,0.9939,Metal,0.0036,Plastic,0.0015,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass283.jpg,Glass,Glass,0.6699,Metal,0.3081,Other,0.0157,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass285.jpg,Glass,Glass,0.9328,Metal,0.05,Plastic,0.006,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass288.jpg,Glass,Other,0.5751,Plastic,0.1994,PaperCardboard,0.1572,True,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass293.jpg,Glass,Glass,0.8646,Other,0.065,Metal,0.047,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass298.jpg,Glass,Glass,0.8072,Metal,0.082,Plastic,0.0594,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass3.jpg,Glass,Glass,0.912,Other,0.0344,Metal,0.0268,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass30.jpg,Glass,Glass,0.9457,Plastic,0.0353,Metal,0.0101,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass332.jpg,Glass,Glass,0.9685,Other,0.0133,PaperCardboard,0.0109,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass333.jpg,Glass,Glass,0.9694,PaperCardboard,0.0164,Metal,0.0113,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass334.jpg,Glass,Glass,0.9768,Plastic,0.0088,PaperCardboard,0.0065,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass339.jpg,Glass,Glass,0.9756,Metal,0.0124,Plastic,0.0047,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass346.jpg,Glass,Glass,0.9104,Other,0.038,Plastic,0.0241,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass347.jpg,Glass,Glass,0.5453,Plastic,0.2233,Other,0.1632,False,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass354.jpg,Glass,Plastic,0.489,Glass,0.4535,PaperCardboard,0.0315,True,True,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass365.jpg,Glass,Glass,0.9316,Other,0.0544,Metal,0.0098,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass367.jpg,Glass,Glass,0.8937,Metal,0.0563,PaperCardboard,0.0356,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass374.jpg,Glass,Glass,0.9409,Plastic,0.0248,PaperCardboard,0.0127,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass379.jpg,Glass,Glass,0.9865,Plastic,0.006,Metal,0.006,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass387.jpg,Glass,Glass,0.9715,Other,0.0253,Plastic,0.0017,False,False,True
C:\Users\HP\Desktop\Soutenance-dev\prepared_datasets\combined_6class\test\Glass\glass395.jpg,Glass,Glass,0.9711,Metal,0.0149,PaperCardboard,0.0066,False,False,True
