sample_id,source_dataset,annotation_type,split,final_class,source_label,image_path,crop_path,source_image_path,image_width,image_height,bbox_x,bbox_y,bbox_width,bbox_height,image_id,annotation_id
test_Glass_000010_ann4068,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000010_ann4068.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000010_ann4068.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000010_ann4068.jpg,,,,,,,,
test_Glass_000011_ann376,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000011_ann376.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000011_ann376.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000011_ann376.jpg,,,,,,,,
test_Glass_000012_ann24,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000012_ann24.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000012_ann24.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000012_ann24.jpg,,,,,,,,
test_Glass_000016_ann101,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000016_ann101.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000016_ann101.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000016_ann101.jpg,,,,,,,,
test_Glass_000040_ann4277,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000040_ann4277.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000040_ann4277.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000040_ann4277.jpg,,,,,,,,
test_Glass_000055_ann3431,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000055_ann3431.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000055_ann3431.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000055_ann3431.jpg,,,,,,,,
test_Glass_000057_ann1205,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000057_ann1205.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000057_ann1205.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000057_ann1205.jpg,,,,,,,,
test_Glass_000059_ann1629,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000059_ann1629.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000059_ann1629.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000059_ann1629.jpg,,,,,,,,
test_Glass_000097_ann4776,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000097_ann4776.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000097_ann4776.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000097_ann4776.jpg,,,,,,,,
test_Glass_000098_ann917,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000098_ann917.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000098_ann917.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000098_ann917.jpg,,,,,,,,
test_Glass_000099_ann4783,TACO,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000099_ann4783.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000099_ann4783.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/000099_ann4783.jpg,,,,,,,,
test_Glass_glass1,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass1.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass1.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass1.jpg,,,,,,,,
test_Glass_glass111,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass111.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass111.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass111.jpg,,,,,,,,
test_Glass_glass116,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass116.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass116.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass116.jpg,,,,,,,,
test_Glass_glass119,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass119.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass119.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass119.jpg,,,,,,,,
test_Glass_glass130,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass130.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass130.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass130.jpg,,,,,,,,
test_Glass_glass149,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass149.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass149.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass149.jpg,,,,,,,,
test_Glass_glass152,TrashNet,cleaned_image_classification,test,Glass,Glass,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass152.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass152.jpg,prepared_datasets/combined_6class_confusion_cleaned/test/Glass/glass152.jpg,,,,,,,,
